review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
105,1,"아무리 잘 박아도 앞으로쏠려요...못 쓰겠네요 6개나 샀는데... 밑에 받침대를 다시 사야할듯...",real****,21.03.21.,2,선반,수납가구
106,1,"무거워서 앞쪽으로 쏠려요,
못도 힘도 없는 못이구요, 
별로에요",kimh****,21.03.17.,2,선반,수납가구
107,1,"너무 무겁고 고정이 안되네요",julo****,21.03.11.,2,선반,수납가구
108,1,"너무 무겁고 고정이 안되네요 ㅠㅠ",julo****,21.03.11.,2,선반,수납가구
109,1,"칼부록에 안박힙니다 ㄱ자 달아야해요",sskm****,21.03.08.,2,선반,수납가구
110,1,"동봉된 나사로는 설치불가한 상품인듯... 설치포기했어요",euij****,21.03.03.,2,선반,수납가구
111,1,"제품은 언뜻 보면 괜찮은 거 같은데, 직접 설치해보면 앞으로 쏠려요. 뒷편에 꽂는 곳이 툭 튀어나와서 그런 거 같고 나사를 잡아주는 플라스틱(초록색)이 뽀개졌어요. 그리고 안에서 놀고 있다네요. 신랑이 요런 거 잘하는데도 안되는거면 질 안좋은 제품을 쓰는겁니다. 진짜 별로네요.",joye****,21.02.21.,2,선반,수납가구
112,1,"제품은 언뜻 보면 괜찮은 거 같은데, 직접 설치해보면 앞으로 쏠려요. 뒷편에 꽂는 곳이 툭 튀어나와서 그런 거 같고 나사를 잡아주는 플라스틱(초록색)이 뽀개졌어요. 그리고 안에서 놀고 있다네요. 신랑이 요런 거 잘하는데도 안되는거면 질 안좋은 제품을 쓰는겁니다. 진짜 별로네요. 
6개나 주문했는데 3개만 거치하고 나머지는 그냥 바닥에 놓고 사용합니다. 불안해서 못 쓰겠네요. 환불하고 싶은데 벌써 설치해서 하지도 못하겠고 평가가 나름 좋았는데 속은기분이네요.
설치해놓고 밑에 나무로 받칠겁니다. 시간낭비 체력소모하고 불만족이네요.",joye****,21.02.21.,2,선반,수납가구
113,1,"B급이라 마켓비인가..? 다신 거들떠도 안봅니다 서비스도 엉망 물건도 엉망 이런식으로 장사하지마세요 양심도 없으신가",suj0****,21.02.16.,2,선반,수납가구
114,1,"제일 큰거 삿는데 이게 부착이 될까 쉽더만 벽 ㅈㄴ게 뚫었는데 얼마 못버티고 ㅅㅁ",a798****,21.02.10.,2,선반,수납가구
115,1,"생각보다 예쁘지 않은 것은 그렇다하더라도 제품이 어쩜 이리 허술한지... 만들기라도 잘해주셔야죠. 설명서는 또 설명이 잘못표기된 부분도 있습니다. 조립한다고 고생한 제가 힘들어 반품도 못합니다. 제품 솔직히 많이 별로입니다.",yoko****,21.01.23.,2,선반,수납가구
116,1,"사이즈 주문실수로환불요청했으나 환불하려면 12000원 결제해야하더군요 배송비가 너무 비싸서 제가 따로 택배를 보낸다고 하니 그것도 규정상 안된다고 합니다",wnqk****,20.12.15.,2,선반,수납가구
117,1,"이건 뭐 진짜 별로입니다.....
상품도 별로인데 고객 응대가... 연락 자체가 안 됨!! 막무가내식 고객센터 있으나마나...",rudn****,20.10.23.,2,선반,수납가구
118,1,"이게뭔지 피스스티커를 같은색으로 줘야지
붙이니까 더 지저분해보임 엄청 약한 나무..벽에 구멍 4개나 뚫었는데 ㅜ 진심 빼고싶은데 구멍자국때문에 그냥함",tjsc****,20.05.20.,2,선반,수납가구
119,1,"완전 조립형인데 구성품 전혀 없고 톱밥 부스러져요... 개봉해서 그냥 반품 안 하고 버립니다.",lumi****,20.04.22.,2,선반,수납가구
120,1,"생각보다는 별로네요.",luvv****,19.08.28.,2,선반,수납가구
121,1,"진짜 별로요.. 거의 한달만에 받았는데 누가 쓰던걸 다시 보낸것 같음",llll****,19.08.27.,2,선반,수납가구
122,1,두세달기다린듯하네요,nett****,19.08.24.,2,선반,수납가구
123,1,한달사용기,qkqh****,19.08.19.,2,선반,수납가구
124,1,"배송오고 이주 정도 있다가 시간나서
설치하려고 보니.... 세군대 찍혀있어서
딥빡쳐서 버렸다",nada****,19.07.25.,2,선반,수납가구
125,1,한달사용기,qkqh****,19.07.10.,2,선반,수납가구
126,1,"설치가 너무 어려움여 . . . . .별로에요",ljhk****,19.06.17.,2,선반,수납가구
127,1,"끝부분 찌그러져서 필름 파여있고...
닿는부분 파여있고
받고 일주일 넘어서 박스 개봉해서 반품도 안될것 같아서 그냥..버렸습니다",wldm****,19.06.07.,2,선반,수납가구
128,1,"조립부분이 잘못되어있네요",sunk****,19.05.22.,2,선반,수납가구
129,1,"설치 과정에서 상품설명이 잘못되어있어
무용지물이되었네요
아쉽네요",sunk****,19.05.22.,2,선반,수납가구
130,1,"완전 비추에요 허접함",nada****,19.05.11.,2,선반,수납가구
131,1,"완전 허접해요 비추",fall****,18.11.15.,2,선반,수납가구
132,1,"생각보다 폭이좁고 설치가 조잡하네요",fall****,18.11.15.,2,선반,수납가구
133,2,"별로에요
판매자도 불친절하구 ㅠ",leed****,21.05.20.,2,선반,수납가구
134,2,"화면이랑 컬러가 달라요 별루임",kang****,21.05.12.,2,선반,수납가구
