review_no,star,review,customerId,reviewDate,pd_no,subcate_no,category_no
177,2,"화이트 주문했는데 두개 다 블랙으로 왔습니다
교환 환불하기 힘든 걸로 악명 높은 쇼핑몰이라 그냥 씁니다
싼 맛에 사서 쓰는 거라 패스.",sour****,16.05.23.,2,선반,수납가구
178,2,"조립 및 설치가 정말 어렵네요
설명서도 없고...
전동공구없이는 설치가 불가능합니다.
",norw****,16.03.01.,2,선반,수납가구
179,2,진심후회합니다조립할때필요한나사가없어사이즈맞게나사구하는것도무지힘들고박스를생각없이버려서반품도못하고이래저래기본적으로나사는좀넣어주시지..아님옵션으로구매하게하시든가넘후회되고저걸어째야할지.,yoyo****,16.01.06.,2,선반,수납가구
180,2,별로예요~~~,hkjj****,15.11.06.,2,선반,수납가구
181,2,"붙여넣기는 왜 안되는데 진짜 열받아 죽겠구만 이렇게 열받는글 계속 적어야해@@@",ftru****,13.04.25.,2,선반,수납가구
182,2,"마켓비 정말 고객에게 이렇게 밖에 할 수 없는지.
내가 마켓비에서 구입한 물건들이 몇개인데... 고객 대응 못하는 직원한명때문에 이렇게 욕먹어서야 쓰나! 오배송은 그렇다쳐 ",ftru****,13.04.25.,2,선반,수납가구
183,2,"마켓비 전화 상담 직원 교육좀 똑바로 시키세요.
고객에게 일을 시키다니... 말도 4가지 없게 하면서... 고객상담은 왜하는데!
오배송 한것을 확인한번 하면 알수있는걸..욕나와",ftru****,13.04.25.,2,선반,수납가구
184,2,"제품중 하나는

판이 휘었고 ,나무에 구멍이 없으며, 아귀가 안맞음... 

억지로 조립은 했지만 짜증남...",cher****,13.04.25.,2,선반,수납가구
185,3,"고정이 시원치않음 흔들림 참고로 꽉 조임",seon****,21.05.15.,2,선반,수납가구
186,3,"일단 벽이 석고보드나 mdf얇은 판이시면 추천드리지 않습니다. 무게도 생각보다 많이 나가서 면적대비로 물건 올리면 처집니다. 뒤에도 벽에 딱붙게 나온고정부라켓이 아니라서. 공간이 뜹니다. 뒤에다 구멍을 제대로 파고 브라켓 달려있어야하는데 2~3미리 이상 뜹니다. 그래서 제대로 붙이고자 해도 쳐집니다. 사진처럼 전 다이소가서 선반 ㄱ기역자 브라켓사서 밑에 고정시키는 이중일을 했습니다. 뜨는 공간은 버기도 흉하고 덜렁거려서 실리콘 쐇습니다.  타사 봉으로 쭉 붙혀서 그속에 밀어서 박는 제품이 몇천원 더주더라도 나을겁니다. 암만 생각해고 뒤에 브라켓 홈제대로 않파져있는거 파는거는 상식 밖입니다. 하긴 메이드인 차이나 이지만.. 참..",jjhj****,21.05.10.,2,선반,수납가구
187,3,"폭이좁은것빼고는 튼튼하고 조아요
아직 달곳을 못찾앗는데 양념통선반으로사용해야될것같아요",kkam****,21.05.10.,2,선반,수납가구
