,noun_id,noun_name,noun_frequency,pd_no,subcate_no,category_no
316,316,최대한,361,0,소파,거실가구
317,317,해피,405,0,소파,거실가구
318,318,당일,82,0,소파,거실가구
319,319,오시,259,0,소파,거실가구
320,320,올해,262,0,소파,거실가구
321,321,거중,24,0,소파,거실가구
322,322,색감,189,0,소파,거실가구
323,323,화면,413,0,소파,거실가구
324,324,갈색,14,0,소파,거실가구
325,325,라이너,103,0,소파,거실가구
326,326,티브이,387,0,소파,거실가구
327,327,커피,369,0,소파,거실가구
328,328,디저트,98,0,소파,거실가구
329,329,휴식,419,0,소파,거실가구
330,330,인테리어,288,0,소파,거실가구
331,331,사장,181,0,소파,거실가구
332,332,방법,139,0,소파,거실가구
333,333,가구,1,0,소파,거실가구
334,334,매장,119,0,소파,거실가구
335,335,사고,174,0,소파,거실가구
336,336,평이,392,0,소파,거실가구
337,337,비각,168,0,소파,거실가구
338,338,문제점,129,0,소파,거실가구
339,339,착불,349,0,소파,거실가구
340,340,달라,80,0,소파,거실가구
341,341,육만,277,0,소파,거실가구
342,342,만족도,116,0,소파,거실가구
343,343,신랑,221,0,소파,거실가구
344,344,스툴,216,0,소파,거실가구
345,345,보완,156,0,소파,거실가구
346,346,요약,267,0,소파,거실가구
347,347,신하,223,0,소파,거실가구
348,348,만날,114,0,소파,거실가구
349,349,송해,210,0,소파,거실가구
350,350,주시,333,0,소파,거실가구
351,351,친정,367,0,소파,거실가구
352,352,별장,153,0,소파,거실가구
353,353,려고,107,0,소파,거실가구
354,354,특성,386,0,소파,거실가구
355,355,동생,90,0,소파,거실가구
356,356,꼬맹이,62,0,소파,거실가구
357,357,자주,297,0,소파,거실가구
358,358,처리,353,0,소파,거실가구
359,359,과정,39,0,소파,거실가구
360,360,배송지,144,0,소파,거실가구
361,361,서로,193,0,소파,거실가구
362,362,소통,208,0,소파,거실가구
363,363,컵홀더,371,0,소파,거실가구
364,364,가끔,3,0,소파,거실가구
365,365,붓기,166,0,소파,거실가구
366,366,동작,91,0,소파,거실가구
367,367,소음,206,0,소파,거실가구
368,368,인정,287,0,소파,거실가구
369,369,수준,214,0,소파,거실가구
370,370,엘배,251,0,소파,거실가구
371,371,일찍,293,0,소파,거실가구
372,372,엄마,247,0,소파,거실가구
373,373,이제,282,0,소파,거실가구
374,374,이틀,283,0,소파,거실가구
375,375,거지,25,0,소파,거실가구
376,376,듭니다저,96,0,소파,거실가구
377,377,쓰기,227,0,소파,거실가구
378,378,오매불망,258,0,소파,거실가구
379,379,뻘뻘,172,0,소파,거실가구
380,380,감사,15,0,소파,거실가구
381,381,착석,350,0,소파,거실가구
382,382,좌망,329,0,소파,거실가구
383,383,방석,140,0,소파,거실가구
384,384,무리,125,0,소파,거실가구
385,385,꼽자,63,0,소파,거실가구
386,386,길이,60,0,소파,거실가구
387,387,성인,202,0,소파,거실가구
388,388,남자,69,0,소파,거실가구
389,389,제로,320,0,소파,거실가구
390,390,시스템,218,0,소파,거실가구
391,391,거리,21,0,소파,거실가구
392,392,센티,204,0,소파,거실가구
393,393,서서히,194,0,소파,거실가구
394,394,뿌드득,173,0,소파,거실가구
395,395,장점,304,0,소파,거실가구
396,396,투성이,385,0,소파,거실가구
397,397,주저,335,0,소파,거실가구
398,398,선비,196,0,소파,거실가구
399,399,물기,131,0,소파,거실가구
400,400,얼룩,246,0,소파,거실가구
401,401,고요,35,0,소파,거실가구
402,402,물질,133,0,소파,거실가구
403,403,보임,157,0,소파,거실가구
404,404,이유,280,0,소파,거실가구
405,405,무게중심,123,0,소파,거실가구
406,406,자칫,299,0,소파,거실가구
407,407,잘못,301,0,소파,거실가구
408,408,순간,215,0,소파,거실가구
409,409,무의식,126,0,소파,거실가구
410,410,개사,18,0,소파,거실가구
411,411,크게,375,0,소파,거실가구
412,412,간식,12,0,소파,거실가구
413,413,활용,415,0,소파,거실가구
414,414,테이블,383,0,소파,거실가구
415,415,좌석,330,0,소파,거실가구
416,416,체격,355,0,소파,거실가구
417,417,남성,68,0,소파,거실가구
418,418,해도,403,0,소파,거실가구
419,419,조절,326,0,소파,거실가구
420,420,용도,270,0,소파,거실가구
421,421,최고,360,0,소파,거실가구
